codigo_subpartida,descripcion
0204100000,"- Canales o medias canales de cordero, frescas o refrigeradas"
0204210000,- - En canales o medias canales
0204220000,- - Los demás cortes (trozos) sin deshuesar
0204230000,- - Deshuesadas
0204300000,"- Canales o medias canales de cordero, congeladas"
0204410000,- - En canales o medias canales
0204420000,- - Los demás cortes (trozos) sin deshuesar
0204430000,- - Deshuesadas
0204500000,- Carne de animales de la especie caprina
0205000000,"Carne de animales de las especies caballar, asnal o mular, fresca, refrigerada o congelada."
0206100000,"- De la especie bovina, frescos o refrigerados"
0206210000,- - Lenguas
0206220000,- - Hígados
0206290000,- - Los demás
0206300000,"- De la especie porcina, frescos o refrigerados"
0206410000,- - Hígados
0206491000,"- - - Piel comestible (cuero, pellejo)"
0206499000,- - - Los demás
0206800000,"- Los demás, frescos o refrigerados"
0206900000,"- Los demás, congelados"
0207110000,"- - Sin trocear, frescos o refrigerados"
0207120000,"- - Sin trocear, congelados"
0207130011,- - - - Sin deshuesar
0207130012,- - - - Deshuesado
0207130090,- - - Los demás
0207140010,- - - Carne mecánicamente deshuesada
0207140021,- - - - Sin deshuesar
0207140022,- - - - Deshuesado
0207140090,- - - Los demás
0207240000,"- - Sin trocear, frescos o refrigerados"
0207250000,"- - Sin trocear, congelados"
0207260000,"- - Trozos y despojos, frescos o refrigerados"
0207270000,"- - Trozos y despojos, congelados"
0207410000,"- - Sin trocear, frescos o refrigerados"
0207420000,"- - Sin trocear, congelados"
0207430000,"- - Hígados grasos, frescos o refrigerados"
0207440000,"- - Los demás, frescos o refrigerados"
0207450000,"- - Los demás, congelados"
0207510000,"- - Sin trocear, frescos o refrigerados"
0207520000,"- - Sin trocear, congelados"
0207530000,"- - Hígados grasos, frescos o refrigerados"
0207540000,"- - Los demás, frescos o refrigerados"
0207550000,"- - Los demás, congelados"
0207600000,- De pintada
0208100000,- De conejo o liebre
0208300000,- De primates
0208400000,"- De ballenas, delfines y marsopas (mamíferos del orden Cetacea); de manatíes y dugones o dugongos (mamíferos del orden Sirenia); de otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia)"
0208500000,- De reptiles (incluidas las serpientes y tortugas de mar)
0208600000,- De camellos y demás camélidos (Camelidae)
0208900000,- Los demás
0209101000,- - Tocino sin partes magras
0209109000,- - Los demás
0209900000,- Las demás
0210110000,"- - Jamones, paletas, y sus trozos, sin deshuesar"
0210120000,- - Tocino entreverado de panza (panceta) y sus trozos
0210190000,- - Las demás
0210200000,- Carne de la especie bovina
0210910000,- - De primates
0210920010,"- - - De ballenas, delfines y marsopas (mamíferos del orden Cetacea); de manatíes y dugones o dugongos (mamíferos del orden Sirenia)"
0210920090,- - - Los demás
0210930000,- - De reptiles (incluidas las serpientes y tortugas de mar)
0210991000,"- - - Harina y polvo comestibles, de carne o de despojos"
0210999000,- - - Los demás
0301110000,- - De agua dulce
0301190000,- - Los demás
0301911000,- - - Para reproducción o cría industrial
0301919000,- - - Las demás
0301920000,- - Anguilas (Anguilla spp.)
0301930000,"- - Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)"
0301940010,- - - Atunes (Thunnus thynnus)
0301940091,- - - - Para reproducción o cría industrial
0301940099,- - - - Los demás
0301950000,- - Atunes del sur (Thunnus maccoyii)
0301991100,- - - - Tilapia
0301991900,- - - - Los demás
0301999000,- - - Los demás
0302110000,"- - Truchas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache y Oncorhynchus chrysogaster)"
0302130000,"- - Salmones del Pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou y Oncorhynchus rhodurus)"
0302140000,- - Salmones del Atlántico (Salmo salar) y salmones del Danubio (Hucho hucho)
0302190000,- - Los demás
0302210000,"- - Fletanes («halibut») (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)"
0302220000,- - Sollas (Pleuronectes platessa)
0302230000,- - Lenguados (Solea spp.)
0302240000,- - Rodaballos («turbots») (Psetta maxima)
0302290000,- - Los demás
0302310000,- - Albacoras o atunes blancos (Thunnus alalunga)
0302320000,- - Atunes de aleta amarilla (rabiles) (Thunnus albacares)
0302330000,- - Listados (bonitos de vientre rayado) (Katsuwonus pelamis)
0302340000,- - Patudos o atunes ojo grande (Thunnus obesus)
0302350000,"- - Atunes comunes o de aleta azul, del Atlántico y del Pacífico (Thunnus thynnus, Thunnus orientalis)"
0302360000,- - Atunes del sur (Thunnus maccoyii)
0302390000,- - Los demás
0302410000,"- - Arenques (Clupea harengus, Clupea pallasii)"
0302420000,- - Anchoas (Engraulis spp.)
0302430000,"- - Sardinas (Sardina pilchardus, Sardinops spp.), sardinelas (Sardinella spp.) y espadines (Sprattus sprattus)"
0302440000,"- - Caballas (Scomber scombrus, Scomber australasicus, Scomber japonicus)"
0302450000,- - Jureles (Trachurus spp.)
0302460000,- - Cobias (Rachycentron canadum)
0302470000,- - Peces espada (Xiphias gladius)
0302490000,- - Los demás
0302510000,"- - Bacalaos (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
0302520000,- - Eglefinos (Melanogrammus aeglefinus)
0302530000,- - Carboneros (Pollachius virens)
