capitulo,capitulo_descripcion,seccion_numero,seccion_romano,seccion_nombre
56,"Guata, fieltro y tela sin tejer; hilados especiales; cordeles, cuerdas y cordajes; artículos de cordelería",11,XI,Materias Textiles Y Sus Manufacturas
57,"Alfombras y demás revestimientos para el suelo, de materia textil",11,XI,Materias Textiles Y Sus Manufacturas
58,Tejidos especiales; superficies textiles con mechón insertado; encajes; tapicería; pasamanería; bordados,11,XI,Materias Textiles Y Sus Manufacturas
59,"Telas impregnadas, recubiertas, revestidas o estratificadas; artículos técnicos de materia textil",11,XI,Materias Textiles Y Sus Manufacturas
60,Tejidos de punto,11,XI,Materias Textiles Y Sus Manufacturas
61,"Prendas y complementos (accesorios), de vestir, de punto",11,XI,Materias Textiles Y Sus Manufacturas
62,"Prendas y complementos (accesorios), de vestir, excepto los de punto",11,XI,Materias Textiles Y Sus Manufacturas
63,Los demás artículos textiles confeccionados; juegos; prendería y trapos,11,XI,Materias Textiles Y Sus Manufacturas
64,"Calzado, polainas y artículos análogos; partes de estos artículos",12,XII,"Calzado, Sombreros Y Demás Tocados, Paraguas, Quitasoles, Bastones, Látigos, Fustas, Y Sus Partes; Plumas Preparadas Y Artículos De Plumas; Flores Artificiales; Manufacturas De Cabello"
65,"Sombreros, demás tocados y sus partes",12,XII,"Calzado, Sombreros Y Demás Tocados, Paraguas, Quitasoles, Bastones, Látigos, Fustas, Y Sus Partes; Plumas Preparadas Y Artículos De Plumas; Flores Artificiales; Manufacturas De Cabello"
66,"Paraguas, sombrillas, quitasoles, bastones, bastones asiento, látigos, fustas, y sus partes",12,XII,"Calzado, Sombreros Y Demás Tocados, Paraguas, Quitasoles, Bastones, Látigos, Fustas, Y Sus Partes; Plumas Preparadas Y Artículos De Plumas; Flores Artificiales; Manufacturas De Cabello"
67,Plumas y plumón preparados y artículos de plumas o plumón; flores artificiales; manufacturas de cabello,12,XII,"Calzado, Sombreros Y Demás Tocados, Paraguas, Quitasoles, Bastones, Látigos, Fustas, Y Sus Partes; Plumas Preparadas Y Artículos De Plumas; Flores Artificiales; Manufacturas De Cabello"
68,"Manufacturas de piedra, yeso fraguable, cemento, amianto (asbesto), mica o materias análogas",13,XIII,"Manufacturas De Piedra, Yeso Fraguable, Cemento, Amianto (Asbesto), Mica O Materias Análogas; Productos Cerámicos; Vidrio Y Sus Manufacturas"
69,Productos cerámicos,13,XIII,"Manufacturas De Piedra, Yeso Fraguable, Cemento, Amianto (Asbesto), Mica O Materias Análogas; Productos Cerámicos; Vidrio Y Sus Manufacturas"
70,Vidrio y sus manufacturas,13,XIII,"Manufacturas De Piedra, Yeso Fraguable, Cemento, Amianto (Asbesto), Mica O Materias Análogas; Productos Cerámicos; Vidrio Y Sus Manufacturas"
71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",14,XIV,"Perlas Finas (Naturales) O Cultivadas, Piedras Preciosas O Semipreciosas, Metales Preciosos, Chapados De Metal Precioso (Plaqué) Y Manufacturas De Estas Materias; Bisutería; Monedas"
72,"Fundición, hierro y acero",15,XV,Metales Comunes Y Manufacturas De Estos Metales
73,"Manufacturas de fundición, hierro o acero",15,XV,Metales Comunes Y Manufacturas De Estos Metales
74,Cobre y sus manufacturas,15,XV,Metales Comunes Y Manufacturas De Estos Metales
75,Níquel y sus manufacturas,15,XV,Metales Comunes Y Manufacturas De Estos Metales
76,Aluminio y sus manufacturas,15,XV,Metales Comunes Y Manufacturas De Estos Metales
77,_(Reservado para una futura utilización en el Sistema Armonizado)_,15,XV,Metales Comunes Y Manufacturas De Estos Metales
78,Plomo y sus manufacturas,15,XV,Metales Comunes Y Manufacturas De Estos Metales
79,Cinc y sus manufacturas,15,XV,Metales Comunes Y Manufacturas De Estos Metales
80,Estaño y sus manufacturas,15,XV,Metales Comunes Y Manufacturas De Estos Metales
81,Los demás metales comunes; cermets; manufacturas de estas materias,15,XV,Metales Comunes Y Manufacturas De Estos Metales
82,"Herramientas y útiles, artículos de cuchillería y cubiertos de mesa, de metal común; partes de estos artículos, de metal común",15,XV,Metales Comunes Y Manufacturas De Estos Metales
83,Manufacturas diversas de metal común,15,XV,Metales Comunes Y Manufacturas De Estos Metales
84,"Reactores nucleares, calderas, máquinas, aparatos y artefactos mecánicos; partes de estas máquinas o aparatos",16,XVI,"Máquinas Y Aparatos, Material Eléctrico Y Sus Partes; Aparatos De Grabación O Reproducción De Sonido, Aparatos De Grabación O Reproducción De Imagen Y Sonido En Televisión, Y Las Partes Y Accesorios De Estos Aparatos Notas De Sección."
85,"Máquinas, aparatos y material eléctrico, y sus partes; aparatos de grabación o reproducción de sonido, aparatos de grabación o reproducción de imagen y sonido en televisión, y las partes y accesorios de estos aparatos",16,XVI,"Máquinas Y Aparatos, Material Eléctrico Y Sus Partes; Aparatos De Grabación O Reproducción De Sonido, Aparatos De Grabación O Reproducción De Imagen Y Sonido En Televisión, Y Las Partes Y Accesorios De Estos Aparatos Notas De Sección."
86,"Vehículos y material para vías férreas o similares, y sus partes; aparatos mecánicos (incluso electromecánicos) de señalización para vías de comunicación",17,XVII,Material De Transporte
87,"Vehículos automóviles, tractores, velocípedos y demás vehículos terrestres; sus partes y accesorios",17,XVII,Material De Transporte
88,"Aeronaves, vehículos espaciales, y sus partes",17,XVII,Material De Transporte
89,Barcos y demás artefactos flotantes,17,XVII,Material De Transporte
90,"Instrumentos y aparatos de óptica, fotografía o cinematografía, de medida, control o precisión; instrumentos y aparatos medicoquirúrgicos; partes y accesorios de estos instrumentos o aparatos",18,XVIII,"Instrumentos Y Aparatos De Óptica, Fotografía O Cinematografía, De Medida, Control O Precisión; Instrumentos Y Aparatos Medicoquirúrgicos; Aparatos De Relojería; Instrumentos Musicales; Partes Y Accesorios De Estos Instrumentos O Aparatos"
91,Aparatos de relojería y sus partes,18,XVIII,"Instrumentos Y Aparatos De Óptica, Fotografía O Cinematografía, De Medida, Control O Precisión; Instrumentos Y Aparatos Medicoquirúrgicos; Aparatos De Relojería; Instrumentos Musicales; Partes Y Accesorios De Estos Instrumentos O Aparatos"
92,Instrumentos musicales; sus partes y accesorios,18,XVIII,"Instrumentos Y Aparatos De Óptica, Fotografía O Cinematografía, De Medida, Control O Precisión; Instrumentos Y Aparatos Medicoquirúrgicos; Aparatos De Relojería; Instrumentos Musicales; Partes Y Accesorios De Estos Instrumentos O Aparatos"
93,"Armas, municiones, y sus partes y accesorios",19,XIX,"Armas, Municiones, Y Sus Partes Y Accesorios"
94,"Muebles; mobiliario medicoquirúrgico; artículos de cama y similares; luminarias y aparatos de alumbrado no expresados ni comprendidos en otra parte; anuncios, letreros y placas indicadoras luminosos y artículos similares; construcciones prefabricadas",20,XX,Mercancías Y Productos Diversos
95,"Juguetes, juegos y artículos para recreo o deporte; sus partes y accesorios",20,XX,Mercancías Y Productos Diversos
96,Manufacturas diversas,20,XX,Mercancías Y Productos Diversos
97,Objetos de arte o colección y antigüedades,21,XXI,Objetos De Arte O Colección Y Antigüedades
98,Mercancías con tratamiento especial,21,XXI,Objetos De Arte O Colección Y Antigüedades
