capitulo,capitulo_descripcion,seccion_numero,seccion_romano,seccion_nombre
34,"Jabón, agentes de superficie orgánicos, preparaciones para lavar, preparaciones lubricantes, ceras artificiales, ceras preparadas, productos de limpieza, velas y artículos similares, pastas para modelar, «ceras para odontología» y preparaciones para odontología a base de yeso fraguable",6,VI,Productos De Las Industrias Químicas O De Las Industrias Conexas
35,Materias albuminoideas; productos a base de almidón o de fécula modificados; colas; enzimas,6,VI,Productos De Las Industrias Químicas O De Las Industrias Conexas
36,Pólvora y explosivos; artículos de pirotecnia; fósforos (cerillas); aleaciones pirofóricas; materias inflamables,6,VI,Productos De Las Industrias Químicas O De Las Industrias Conexas
37,Productos fotográficos o cinematográficos,6,VI,Productos De Las Industrias Químicas O De Las Industrias Conexas
38,Productos diversos de las industrias químicas,6,VI,Productos De Las Industrias Químicas O De Las Industrias Conexas
39,Plástico y sus manufacturas,7,VII,Plástico Y Sus Manufacturas; Caucho Y Sus Manufacturas
40,Caucho y sus manufacturas,7,VII,Plástico Y Sus Manufacturas; Caucho Y Sus Manufacturas
41,Pieles (excepto la peletería) y cueros,8,VIII,"Pieles, Cueros, Peletería Y Manufacturas De Estas Materias; Artículos De Talabartería O Guarnicionería; Artículos De Viaje, Bolsos De Mano (Carteras) Y Continentes Similares; Manufacturas De Tripa"
42,"Manufacturas de cuero; artículos de talabartería o guarnicionería; artículos de viaje, bolsos de mano (carteras) y continentes similares; manufacturas de tripa",8,VIII,"Pieles, Cueros, Peletería Y Manufacturas De Estas Materias; Artículos De Talabartería O Guarnicionería; Artículos De Viaje, Bolsos De Mano (Carteras) Y Continentes Similares; Manufacturas De Tripa"
43,Peletería y confecciones de peletería; peletería facticia o artificial,8,VIII,"Pieles, Cueros, Peletería Y Manufacturas De Estas Materias; Artículos De Talabartería O Guarnicionería; Artículos De Viaje, Bolsos De Mano (Carteras) Y Continentes Similares; Manufacturas De Tripa"
44,"Madera, carbón vegetal y manufacturas de madera",9,IX,"Madera, Carbón Vegetal Y Manufacturas De Madera; Corcho Y Sus Manufacturas; Manufacturas De Espartería O Cestería"
45,Corcho y sus manufacturas,9,IX,"Madera, Carbón Vegetal Y Manufacturas De Madera; Corcho Y Sus Manufacturas; Manufacturas De Espartería O Cestería"
46,Manufacturas de espartería o cestería,9,IX,"Madera, Carbón Vegetal Y Manufacturas De Madera; Corcho Y Sus Manufacturas; Manufacturas De Espartería O Cestería"
47,Pasta de madera o de las demás materias fibrosas celulósicas; papel o cartón para reciclar (desperdicios y desechos),10,X,Pasta De Madera O De Las Demás Materias Fibrosas Celulósicas; Papel O Cartón Para Reciclar (Desperdicios Y Desechos); Papel O Cartón Y Sus Aplicaciones
48,"Papel y cartón; manufacturas de pasta de celulosa, de papel o cartón",10,X,Pasta De Madera O De Las Demás Materias Fibrosas Celulósicas; Papel O Cartón Para Reciclar (Desperdicios Y Desechos); Papel O Cartón Y Sus Aplicaciones
49,"Productos editoriales, de la prensa y de las demás industrias gráficas; textos manuscritos o mecanografiados y planos",10,X,Pasta De Madera O De Las Demás Materias Fibrosas Celulósicas; Papel O Cartón Para Reciclar (Desperdicios Y Desechos); Papel O Cartón Y Sus Aplicaciones
50,Seda,11,XI,Materias Textiles Y Sus Manufacturas
51,Lana y pelo fino u ordinario; hilados y tejidos de crin,11,XI,Materias Textiles Y Sus Manufacturas
52,Algodón,11,XI,Materias Textiles Y Sus Manufacturas
53,Las demás fibras textiles vegetales; hilados de papel y tejidos de hilados de papel,11,XI,Materias Textiles Y Sus Manufacturas
54,Filamentos sintéticos o artificiales; tiras y formas similares de materia textil sintética o artificial,11,XI,Materias Textiles Y Sus Manufacturas
55,Fibras sintéticas o artificiales discontinuas,11,XI,Materias Textiles Y Sus Manufacturas
